condition,subject,trial,state,t,xx,yy
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7630.0,-4.306766229253185,1008.6630908428891
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7641.0,-7.517942023501689,1008.9810987136452
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7650.0,-8.881068352552859,1009.1099768067077
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7663.0,-10.042969633617957,1009.2385909451392
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7673.0,-10.528007395254662,1009.2910429499873
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7682.0,-10.86804391183108,1009.2789535585493
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7693.0,-10.939111715733958,1009.2721015118037
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7704.0,-10.981465834350104,1009.268684017577
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7714.0,-10.984159533369251,1009.2709518726713
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7725.0,-10.986165479447294,1009.2576845612477
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7736.0,-10.991610190230006,1009.2597872202465
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7747.0,-10.987369047093694,1009.2593118325693
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7757.0,-10.987197108858737,1009.2713733920564
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7767.0,-10.986681294153016,1009.269538278908
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7779.0,-10.986050853956755,1009.2646551182359
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7789.0,-10.990005433367571,1009.2666765258941
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7799.0,-10.987598298074346,1009.2691594052542
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7809.0,-10.988629927485789,1009.2663537650444
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7820.0,-10.989260367681624,1009.2677839681978
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7831.0,-10.987942174544685,1009.2694049548853
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7841.0,-10.988916491210858,1009.2682728229479
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7851.0,-10.989890807877458,1009.2672448363751
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7863.0,-10.987197108858737,1009.2685304929448
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7873.0,-10.98857261474052,1009.2670890672307
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7882.0,-10.988286051015024,1009.2633793375197
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7893.0,-10.98731173434885,1009.2612685982773
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7904.0,-10.989203054936354,1009.2619266892448
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7914.0,-10.987598298074346,1009.2610243953534
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7925.0,-10.989718869642076,1009.2575072447866
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7935.0,-10.989374993171737,1009.2567714936979
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7947.0,-10.987942174544685,1009.2472278279606
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7957.0,-11.002786175520924,1009.186379103093
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7966.0,-11.123429503920477,1008.6440340367801
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7979.0,-11.228025263696964,1008.1378588351481
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7989.0,-11.346204144057594,1007.6041098015353
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,7998.0,-11.462205140105652,1006.9375637566151
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8009.0,-11.69116955671143,1005.747865020026
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8020.0,-11.909416489987166,1004.7189480969031
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8031.0,-12.04541963406868,1004.1022558095457
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8041.0,-12.258737671267426,1003.1848156974946
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8051.0,-12.45417413200002,1002.3346841285558
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8063.0,-12.765095774074524,1001.1127499887775
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8073.0,-13.010451635774558,1000.2677969863682
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8083.0,-13.382354038617308,998.8550067584756
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8093.0,-13.64198077384259,997.9305267620667
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8104.0,-13.81145456105287,996.385335454813
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8114.0,-14.03617783452276,995.4548226585997
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8125.0,-14.356728017771445,994.1017086224182
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8135.0,-14.544198006937137,993.2782626478261
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8147.0,-14.78496884903052,992.2770001346707
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8158.0,-14.944584844086393,991.6652107596926
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8168.0,-15.010723751911854,991.4279451740495
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8180.0,-15.076232219541907,991.1721767279004
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_init,8190.0,-15.109358986199481,991.1001629017053
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8200.0,-15.116351141099784,991.0349562320127
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8212.0,-15.118185148942445,991.0391283312301
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8222.0,-15.122254353843374,991.0330681483772
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8231.0,-15.118013210707062,991.0400405009751
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8242.0,-15.118185148942445,991.0358684017577
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8251.0,-15.120191095020488,991.0319369142446
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8263.0,-15.120363033255444,991.032447765214
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8274.0,-15.122884794039209,991.0350720488407
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8283.0,-15.119216778353888,991.0334389417873
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8296.0,-15.119274091099157,991.0381910229489
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8306.0,-15.120019156785105,991.0379324551473
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8315.0,-15.11938871658927,991.0362751073625
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8326.0,-15.11973259305961,991.0355110754206
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8336.0,-15.119617967569496,991.0368128924779
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8347.0,-15.120191095020488,991.0342155429973
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8357.0,-15.122884794039209,991.0377816239295
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8366.0,-15.121451975412157,991.0404633670676
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8378.0,-15.120477658745557,991.0397199846376
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8389.0,-15.120821535216322,991.0388033258683
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8398.0,-15.120076469529948,991.0389002887938
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8409.0,-15.11938871658927,991.0381784536808
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8419.0,-15.119216778353888,991.0355335205422
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8430.0,-15.119904531294992,991.0348691449407
"{'cat': 'II', 'resp': 'reach'}",10000900,0,state_searching_ring,8440.0,-15.12162391364754,991.0339237564156
