condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",24,0,Left,54.084620351073426,82.94580209281914,2.7042310175536715,1.3029096125045674,Right,Incorrect,0.0,0.0,-45,45,2008,7450,-0.7
"{'cat': 'II', 'resp': 'reach'}",24,1,Left,44.205280710295064,76.22112229502109,2.210264035514753,1.1972785892520372,Left,Correct,0.0,0.0,-45,45,2012,4963,-2.52
"{'cat': 'II', 'resp': 'reach'}",24,2,Right,74.38030118868153,44.244362841404154,3.7190150594340765,0.6949888263265827,Left,Incorrect,0.0,0.0,-45,45,2006,4528,-2.28
"{'cat': 'II', 'resp': 'reach'}",24,3,Right,59.22126640275076,28.190804830950803,2.961063320137538,0.44282012677849353,Right,Correct,0.0,0.0,-45,45,2006,3320,-0.85
"{'cat': 'II', 'resp': 'reach'}",24,4,Right,64.1132719608326,47.88171353671186,3.2056635980416304,0.7521241974411248,Right,Correct,0.0,0.0,-45,45,2004,1549,-0.83
"{'cat': 'II', 'resp': 'reach'}",24,5,Left,38.29220094188381,59.105265678187024,1.9146100470941905,0.9284233422153264,Right,Incorrect,0.0,0.0,-45,45,2005,1273,-0.84
"{'cat': 'II', 'resp': 'reach'}",24,6,Left,65.45811231499044,77.51798104102907,3.272905615749522,1.2176495987980491,Left,Correct,0.0,0.0,-45,45,2006,2525,-2.42
"{'cat': 'II', 'resp': 'reach'}",24,7,Right,57.01708881697201,32.63047764498172,2.8508544408486007,0.5125583442630027,Right,Correct,0.0,0.0,-45,45,2012,2707,-0.83
"{'cat': 'II', 'resp': 'reach'}",24,8,Left,18.157859704573376,48.134798126952255,0.9078929852286689,0.7560996408883047,Right,Incorrect,0.0,0.0,-45,45,2001,2448,-0.91
"{'cat': 'II', 'resp': 'reach'}",24,9,Left,57.96441715823231,76.32151435067863,2.8982208579116158,1.1988555439746997,Left,Correct,0.0,0.0,-45,45,2007,1637,-2.29
