date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-08-11,mis_rep,10.3,0,-120.0,1.0,0.0,2003,504,2.7
2025-08-11,mis_rep,10.3,1,0.0,1.0,0.0,2004,558,-1.56
2025-08-11,mis_rep,10.3,2,120.0,1.0,0.0,2002,508,0.68
2025-08-11,mis_rep,10.3,3,-90.0,1.0,0.0,2004,498,-2.98
2025-08-11,mis_rep,10.3,4,90.0,1.0,0.0,2007,578,0.06
2025-08-11,mis_rep,10.3,5,-90.0,1.0,0.0,2010,510,-3.07
2025-08-11,mis_rep,10.3,6,-120.0,1.0,0.0,2005,615,2.65
2025-08-11,mis_rep,10.3,7,30.0,1.0,0.0,2007,494,-0.66
2025-08-11,mis_rep,10.3,8,-150.0,1.0,0.0,2007,501,2.31
2025-08-11,mis_rep,10.3,9,0.0,1.0,0.0,2007,538,-1.46
2025-08-11,mis_rep,10.3,10,120.0,1.0,0.0,2006,542,0.58
2025-08-11,mis_rep,10.3,11,60.0,1.0,0.0,2011,568,-0.27
2025-08-11,mis_rep,10.3,12,90.0,1.0,0.0,2009,516,0.05
2025-08-11,mis_rep,10.3,13,-150.0,1.0,0.0,2005,457,2.19
2025-08-11,mis_rep,10.3,14,-60.0,1.0,0.0,2005,486,-2.67
2025-08-11,mis_rep,10.3,15,60.0,1.0,0.0,2004,508,-0.44
2025-08-11,mis_rep,10.3,16,-30.0,1.0,0.0,2001,524,-2.09
2025-08-11,mis_rep,10.3,17,30.0,1.0,0.0,2008,583,-0.95
2025-08-11,mis_rep,10.3,18,-60.0,1.0,0.0,2006,463,-2.49
2025-08-11,mis_rep,10.3,19,-60.0,1.0,0.0,2011,462,-2.69
2025-08-11,mis_rep,10.3,20,120.0,1.0,0.0,2011,518,0.46
2025-08-11,mis_rep,10.3,21,-120.0,1.0,0.0,2008,552,2.74
2025-08-11,mis_rep,10.3,22,60.0,1.0,0.0,2004,505,-0.48
2025-08-11,mis_rep,10.3,23,150.0,1.0,0.0,2010,512,0.81
2025-08-11,mis_rep,10.3,24,150.0,1.0,0.0,2006,533,1.09
2025-08-11,mis_rep,10.3,25,-90.0,1.0,0.0,2004,522,-3.1
2025-08-11,mis_rep,10.3,26,90.0,1.0,0.0,2007,542,0.06
2025-08-11,mis_rep,10.3,27,150.0,1.0,0.0,2005,536,0.89
2025-08-11,mis_rep,10.3,28,-150.0,1.0,0.0,2003,506,2.27
2025-08-11,mis_rep,10.3,29,-30.0,1.0,0.0,2001,523,-2.16
2025-08-11,mis_rep,10.3,30,0.0,1.0,0.0,2006,497,-1.42
2025-08-11,mis_rep,10.3,31,30.0,1.0,0.0,2004,544,-1.0
2025-08-11,mis_rep,10.3,32,-30.0,1.0,0.0,2001,491,-2.17
2025-08-11,mis_rep,10.3,33,-90.0,1.0,0.0,2009,546,-3.1
2025-08-11,mis_rep,10.3,34,-30.0,1.0,0.0,2003,503,-2.22
2025-08-11,mis_rep,10.3,35,-30.0,1.0,0.0,2008,475,-2.3
2025-08-11,mis_rep,10.3,36,120.0,1.0,0.0,2009,562,0.77
2025-08-11,mis_rep,10.3,37,-60.0,1.0,0.0,2010,467,-2.63
2025-08-11,mis_rep,10.3,38,-150.0,1.0,0.0,2009,458,2.25
2025-08-11,mis_rep,10.3,39,0.0,1.0,0.0,2001,532,-1.6
2025-08-11,mis_rep,10.3,40,120.0,1.0,0.0,2004,545,0.56
2025-08-11,mis_rep,10.3,41,-90.0,1.0,0.0,2005,479,-3.03
2025-08-11,mis_rep,10.3,42,-60.0,1.0,0.0,2007,501,-2.71
2025-08-11,mis_rep,10.3,43,0.0,1.0,0.0,2005,527,-1.54
2025-08-11,mis_rep,10.3,44,30.0,1.0,0.0,2011,693,-0.72
2025-08-11,mis_rep,10.3,45,120.0,1.0,0.0,2001,582,0.72
2025-08-11,mis_rep,10.3,46,-60.0,1.0,0.0,2008,480,-2.7
2025-08-11,mis_rep,10.3,47,0.0,1.0,0.0,2005,521,-1.56
2025-08-11,mis_rep,10.3,48,-90.0,1.0,0.0,2002,496,-3.04
2025-08-11,mis_rep,10.3,49,60.0,1.0,0.0,2010,532,-0.4
2025-08-11,mis_rep,10.3,50,60.0,1.0,0.0,2001,508,-0.49
2025-08-11,mis_rep,10.3,51,30.0,1.0,0.0,2001,507,-1.08
2025-08-11,mis_rep,10.3,52,-30.0,1.0,0.0,2002,526,-2.21
2025-08-11,mis_rep,10.3,53,-150.0,1.0,0.0,2005,500,2.26
2025-08-11,mis_rep,10.3,54,-150.0,1.0,0.0,2010,601,2.52
