date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-05-13,mis_rep,10005,0,150.0,1.0,0.0,2010,510,0.86
2025-05-13,mis_rep,10005,1,30.0,1.0,0.0,2007,395,-1.01
2025-05-13,mis_rep,10005,2,-30.0,1.0,0.0,2005,424,-2.25
2025-05-13,mis_rep,10005,3,120.0,1.0,0.0,2006,454,0.46
2025-05-13,mis_rep,10005,4,-60.0,1.0,0.0,2002,466,-2.97
2025-05-13,mis_rep,10005,5,-30.0,1.0,0.0,2009,619,-2.27
2025-05-13,mis_rep,10005,6,-90.0,1.0,0.0,2006,469,2.97
2025-05-13,mis_rep,10005,7,60.0,1.0,0.0,2008,459,-0.67
2025-05-13,mis_rep,10005,8,0.0,1.0,0.0,2011,498,-1.65
2025-05-13,mis_rep,10005,9,90.0,1.0,0.0,2007,400,-0.14
2025-05-13,mis_rep,10005,10,30.0,1.0,0.0,2002,580,-1.06
2025-05-13,mis_rep,10005,11,0.0,1.0,0.0,2004,452,-1.69
2025-05-13,mis_rep,10005,12,60.0,1.0,0.0,2007,334,-0.74
2025-05-13,mis_rep,10005,13,-150.0,1.0,0.0,2007,489,2.0
2025-05-13,mis_rep,10005,14,-90.0,1.0,0.0,2003,468,2.88
2025-05-13,mis_rep,10005,15,-60.0,1.0,0.0,2006,405,-2.95
2025-05-13,mis_rep,10005,16,-30.0,1.0,0.0,2009,403,-2.35
2025-05-13,mis_rep,10005,17,90.0,1.0,0.0,2009,437,-0.18
2025-05-13,mis_rep,10005,18,-120.0,1.0,0.0,2003,467,2.67
2025-05-13,mis_rep,10005,19,60.0,1.0,0.0,2001,456,-0.53
2025-05-13,mis_rep,10005,20,-150.0,1.0,0.0,2007,446,2.22
2025-05-13,mis_rep,10005,21,-60.0,1.0,0.0,2008,498,-2.7
2025-05-13,mis_rep,10005,22,30.0,1.0,0.0,2003,417,-1.09
2025-05-13,mis_rep,10005,23,90.0,1.0,0.0,2010,440,-0.16
2025-05-13,mis_rep,10005,24,-90.0,1.0,0.0,2003,497,2.89
2025-05-13,mis_rep,10005,25,150.0,1.0,0.0,2003,423,0.63
2025-05-13,mis_rep,10005,26,120.0,1.0,0.0,2010,571,0.37
2025-05-13,mis_rep,10005,27,150.0,1.0,0.0,2002,453,0.92
2025-05-13,mis_rep,10005,28,120.0,1.0,0.0,2003,438,0.53
2025-05-13,mis_rep,10005,29,-120.0,1.0,0.0,2008,517,2.55
2025-05-13,mis_rep,10005,30,0.0,1.0,0.0,2007,426,-1.82
2025-05-13,mis_rep,10005,31,-150.0,1.0,0.0,2008,435,2.15
2025-05-13,mis_rep,10005,32,-120.0,1.0,0.0,2001,458,2.53
2025-05-13,mis_rep,10005,33,150.0,1.0,0.0,2002,468,0.82
2025-05-13,mis_rep,10005,34,-30.0,1.0,0.0,2010,520,-2.39
2025-05-13,mis_rep,10005,35,-90.0,1.0,0.0,2009,510,3.04
2025-05-13,mis_rep,10005,36,0.0,1.0,0.0,2008,465,-1.59
2025-05-13,mis_rep,10005,37,90.0,1.0,0.0,2001,528,-0.08
2025-05-13,mis_rep,10005,38,0.0,1.0,0.0,2006,595,-1.8
2025-05-13,mis_rep,10005,39,30.0,1.0,0.0,2008,478,-0.96
2025-05-13,mis_rep,10005,40,-120.0,1.0,0.0,2008,469,2.6
2025-05-13,mis_rep,10005,41,30.0,1.0,0.0,2006,479,-1.07
2025-05-13,mis_rep,10005,42,-30.0,1.0,0.0,2003,957,-2.3
2025-05-13,mis_rep,10005,43,-60.0,1.0,0.0,2001,609,-2.84
