date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-08-21,mis_rep,16,0,-30.0,1.0,0.0,2009,1603,-2.28
2025-08-21,mis_rep,16,1,-60.0,1.0,0.0,2012,810,-2.73
2025-08-21,mis_rep,16,2,30.0,1.0,0.0,2009,1139,-0.78
2025-08-21,mis_rep,16,3,0.0,1.0,0.0,2008,944,-1.52
2025-08-21,mis_rep,16,4,-30.0,1.0,0.0,2009,839,-2.29
2025-08-21,mis_rep,16,5,150.0,1.0,0.0,2012,953,0.87
2025-08-21,mis_rep,16,6,120.0,1.0,0.0,2006,1005,0.62
2025-08-21,mis_rep,16,7,150.0,1.0,0.0,2011,675,0.87
2025-08-21,mis_rep,16,8,90.0,1.0,0.0,2003,611,-0.11
2025-08-21,mis_rep,16,9,-150.0,1.0,0.0,2006,734,2.31
2025-08-21,mis_rep,16,10,-150.0,1.0,0.0,2010,706,2.22
2025-08-21,mis_rep,16,11,-120.0,1.0,0.0,2001,763,2.59
2025-08-21,mis_rep,16,12,30.0,1.0,0.0,2012,565,-0.73
2025-08-21,mis_rep,16,13,120.0,1.0,0.0,2010,662,0.59
2025-08-21,mis_rep,16,14,-90.0,1.0,0.0,2006,652,-3.02
2025-08-21,mis_rep,16,15,-150.0,1.0,0.0,2011,749,2.29
2025-08-21,mis_rep,16,16,60.0,1.0,0.0,2009,664,-0.33
2025-08-21,mis_rep,16,17,0.0,1.0,0.0,2006,800,-1.48
2025-08-21,mis_rep,16,18,-60.0,1.0,0.0,2004,682,-2.77
2025-08-21,mis_rep,16,19,-120.0,1.0,0.0,2007,739,2.64
2025-08-21,mis_rep,16,20,-90.0,1.0,0.0,2006,689,-3.13
2025-08-21,mis_rep,16,21,150.0,1.0,0.0,2012,629,1.02
2025-08-21,mis_rep,16,22,30.0,1.0,0.0,2011,721,-0.99
2025-08-21,mis_rep,16,23,90.0,1.0,0.0,2010,1212,0.0
2025-08-21,mis_rep,16,24,60.0,1.0,0.0,2010,850,-0.48
2025-08-21,mis_rep,16,25,0.0,1.0,0.0,2004,840,-1.64
2025-08-21,mis_rep,16,26,120.0,1.0,0.0,2010,933,0.5
2025-08-21,mis_rep,16,27,60.0,1.0,0.0,2005,711,-0.42
2025-08-21,mis_rep,16,28,-60.0,1.0,0.0,2001,809,-2.67
2025-08-21,mis_rep,16,29,-30.0,1.0,0.0,2010,804,-2.02
2025-08-21,mis_rep,16,30,-120.0,1.0,0.0,2007,1491,2.7
2025-08-21,mis_rep,16,31,-90.0,1.0,0.0,2005,861,-3.09
2025-08-21,mis_rep,16,32,90.0,1.0,0.0,2008,981,-0.03
2025-08-21,mis_rep,16,33,-60.0,1.0,0.0,2008,678,-2.72
2025-08-21,mis_rep,16,34,150.0,1.0,0.0,2011,705,0.9
2025-08-21,mis_rep,16,35,30.0,1.0,0.0,2010,1198,-0.95
2025-08-21,mis_rep,16,36,30.0,1.0,0.0,2009,516,-0.95
2025-08-21,mis_rep,16,37,30.0,1.0,0.0,2011,950,-1.13
2025-08-21,mis_rep,16,38,-150.0,1.0,0.0,2008,727,2.29
2025-08-21,mis_rep,16,39,120.0,1.0,0.0,2004,1201,0.63
2025-08-21,mis_rep,16,40,-90.0,1.0,0.0,2011,666,3.05
2025-08-21,mis_rep,16,41,-120.0,1.0,0.0,2005,1038,2.61
2025-08-21,mis_rep,16,42,-60.0,1.0,0.0,2007,1222,-2.73
2025-08-21,mis_rep,16,43,90.0,1.0,0.0,2005,1172,0.02
2025-08-21,mis_rep,16,44,-60.0,1.0,0.0,2010,1192,-2.74
2025-08-21,mis_rep,16,45,150.0,1.0,0.0,2008,687,1.02
2025-08-21,mis_rep,16,46,120.0,1.0,0.0,2009,909,0.7
2025-08-21,mis_rep,16,47,-90.0,1.0,0.0,2010,723,-3.11
2025-08-21,mis_rep,16,48,150.0,1.0,0.0,2009,772,1.06
2025-08-21,mis_rep,16,49,-120.0,1.0,0.0,2007,807,2.78
2025-08-21,mis_rep,16,50,-60.0,1.0,0.0,2010,1298,-2.67
2025-08-21,mis_rep,16,51,0.0,1.0,0.0,2002,1331,-1.64
2025-08-21,mis_rep,16,52,0.0,1.0,0.0,2006,1005,-1.6
2025-08-21,mis_rep,16,53,30.0,1.0,0.0,2005,1050,-0.89
2025-08-21,mis_rep,16,54,150.0,1.0,0.0,2001,1454,0.96
2025-08-21,mis_rep,16,55,0.0,1.0,0.0,2011,1256,-1.73
2025-08-21,mis_rep,16,56,60.0,1.0,0.0,2011,1333,-0.46
2025-08-21,mis_rep,16,57,-30.0,1.0,0.0,2003,1289,-2.28
2025-08-21,mis_rep,16,58,-30.0,1.0,0.0,2010,1347,-2.23
2025-08-21,mis_rep,16,59,-120.0,1.0,0.0,2008,1261,2.81
2025-08-21,mis_rep,16,60,0.0,1.0,0.0,2011,1205,-1.56
2025-08-21,mis_rep,16,61,-150.0,1.0,0.0,2002,1484,2.37
2025-08-21,mis_rep,16,62,90.0,1.0,0.0,2003,621,0.02
2025-08-21,mis_rep,16,63,90.0,1.0,0.0,2005,1144,0.03
2025-08-21,mis_rep,16,64,60.0,1.0,0.0,2010,1409,-0.45
2025-08-21,mis_rep,16,65,150.0,1.0,0.0,2007,1245,1.03
2025-08-21,mis_rep,16,66,150.0,1.0,0.0,2008,1447,1.11
2025-08-21,mis_rep,16,67,60.0,1.0,0.0,2004,1301,-0.48
2025-08-21,mis_rep,16,68,-60.0,1.0,0.0,2001,1498,-2.74
2025-08-21,mis_rep,16,69,-150.0,1.0,0.0,2009,1273,2.36
2025-08-21,mis_rep,16,70,-120.0,1.0,0.0,2005,855,2.63
2025-08-21,mis_rep,16,71,150.0,1.0,0.0,2011,1767,1.05
2025-08-21,mis_rep,16,72,120.0,1.0,0.0,2005,1376,0.65
2025-08-21,mis_rep,16,73,120.0,1.0,0.0,2008,1414,0.74
2025-08-21,mis_rep,16,74,30.0,1.0,0.0,2004,1247,-0.99
2025-08-21,mis_rep,16,75,120.0,1.0,0.0,2001,1729,0.69
2025-08-21,mis_rep,16,76,0.0,1.0,0.0,2009,1833,-1.52
2025-08-21,mis_rep,16,77,30.0,1.0,0.0,2003,1432,-1.02
2025-08-21,mis_rep,16,78,-90.0,1.0,0.0,2004,1250,-3.05
2025-08-21,mis_rep,16,79,-120.0,1.0,0.0,2002,1254,2.85
2025-08-21,mis_rep,16,80,-90.0,1.0,0.0,2002,1256,-3.04
2025-08-21,mis_rep,16,81,30.0,1.0,0.0,2008,1112,-1.12
2025-08-21,mis_rep,16,82,-90.0,1.0,0.0,2008,1254,-2.95
2025-08-21,mis_rep,16,83,90.0,1.0,0.0,2004,1566,0.11
2025-08-21,mis_rep,16,84,150.0,1.0,0.0,2010,1400,1.08
2025-08-21,mis_rep,16,85,0.0,1.0,0.0,2004,1247,-1.63
2025-08-21,mis_rep,16,86,90.0,1.0,0.0,2011,1792,0.14
2025-08-21,mis_rep,16,87,120.0,1.0,0.0,2003,1484,0.46
2025-08-21,mis_rep,16,88,0.0,1.0,0.0,2007,1165,-1.51
2025-08-21,mis_rep,16,89,120.0,1.0,0.0,2011,1606,0.47
2025-08-21,mis_rep,16,90,-120.0,1.0,0.0,2008,1471,2.83
2025-08-21,mis_rep,16,91,-150.0,1.0,0.0,2008,990,2.52
2025-08-21,mis_rep,16,92,-120.0,1.0,0.0,2009,1089,2.86
2025-08-21,mis_rep,16,93,90.0,1.0,0.0,2005,1084,0.0
2025-08-21,mis_rep,16,94,-120.0,1.0,0.0,2001,1878,2.88
2025-08-21,mis_rep,16,95,150.0,1.0,0.0,2006,1433,1.0
2025-08-21,mis_rep,16,96,150.0,1.0,0.0,2011,1219,1.11
2025-08-21,mis_rep,16,97,-60.0,1.0,0.0,2007,1116,-2.73
2025-08-21,mis_rep,16,98,0.0,1.0,0.0,2010,1093,-1.73
2025-08-21,mis_rep,16,99,0.0,1.0,0.0,2004,1280,-1.7
2025-08-21,mis_rep,16,100,-120.0,1.0,0.0,2009,921,2.83
2025-08-21,mis_rep,16,101,-120.0,1.0,0.0,2005,1069,2.7
2025-08-21,mis_rep,16,102,120.0,1.0,0.0,2007,1188,0.73
2025-08-21,mis_rep,16,103,60.0,1.0,0.0,2003,1366,-0.44
2025-08-21,mis_rep,16,104,150.0,1.0,0.0,2003,1166,0.87
2025-08-21,mis_rep,16,105,120.0,1.0,0.0,2011,817,0.54
2025-08-21,mis_rep,16,106,-60.0,1.0,0.0,2011,1110,-2.7
2025-08-21,mis_rep,16,107,0.0,1.0,0.0,2002,845,-1.69
2025-08-21,mis_rep,16,108,90.0,1.0,0.0,2003,1531,-0.09
2025-08-21,mis_rep,16,109,150.0,1.0,0.0,2006,1589,0.97
2025-08-21,mis_rep,16,110,-120.0,1.0,0.0,2001,858,2.76
2025-08-21,mis_rep,16,111,90.0,1.0,0.0,2007,922,0.04
2025-08-21,mis_rep,16,112,30.0,1.0,0.0,2006,824,-1.03
2025-08-21,mis_rep,16,113,90.0,1.0,0.0,2003,748,-0.08
2025-08-21,mis_rep,16,114,-120.0,1.0,0.0,2002,691,2.69
2025-08-21,mis_rep,16,115,-30.0,1.0,0.0,2008,1215,-2.29
