condition,subject,trial,su,rotation,rt,mt,ep
blocked,8001,1,26.78,0.0,754,121,-1.64
blocked,8001,2,26.78,0.0,371,100,-1.63
blocked,8001,3,0.0,0.0,446,100,-1.63
blocked,8001,4,26.78,0.0,441,92,-1.62
blocked,8001,5,0.0,0.0,404,113,-1.6
blocked,8001,6,26.78,0.0,392,104,-1.62
blocked,8001,7,26.78,0.0,375,100,-1.64
blocked,8001,8,26.78,0.0,542,83,-1.61
blocked,8001,9,26.78,0.0,525,100,-1.6
blocked,8001,10,0.0,0.0,420,100,-1.64
blocked,8001,11,0.0,0.0,433,121,-1.66
blocked,8001,12,26.78,0.0,383,121,-1.57
blocked,8001,13,0.0,0.0,455,129,-1.56
blocked,8001,14,26.78,0.0,371,112,-1.61
blocked,8001,15,26.78,0.0,334,120,-1.61
blocked,8001,16,26.78,0.0,354,109,-1.61
blocked,8001,17,26.78,0.0,271,120,-1.59
blocked,8001,18,0.0,0.0,354,88,-1.58
blocked,8001,19,26.78,0.0,313,104,-1.58
blocked,8001,20,26.78,0.0,434,104,-1.61
blocked,8001,21,0.0,0.0,313,108,-1.59
blocked,8001,22,26.78,0.0,271,100,-1.59
blocked,8001,23,0.0,0.0,254,92,-1.59
blocked,8001,24,26.78,0.0,471,71,-1.6
blocked,8001,25,26.78,0.0,392,92,-1.62
blocked,8001,26,0.0,0.0,404,113,-1.67
blocked,8001,27,0.0,0.0,454,108,-1.57
blocked,8001,28,0.0,0.0,354,112,-1.56
blocked,8001,29,0.0,0.0,350,104,-1.6
